County,Census,Estimates Base,Today,,,,,
Jennings,"28,525","28,529",27735,,,".Jennings County, Indiana",,,
Johnson,"139,654","139,855",158167,,,".Johnson County, Indiana",,,
Knox,"38,440","38,440",36594,,,".Knox County, Indiana",,,
Kosciusko,"77,358","77,355",79456,,,".Kosciusko County, Indiana",,,
LaGrange,"37,128","37,131",39614,,,".LaGrange County, Indiana",,,
Lake,"496,005","496,108",485493,,,".Lake County, Indiana",,,
LaPorte,"111,467","111,466",109888,,,".LaPorte County, Indiana",,,
Lawrence,"46,134","46,129",45370,,,".Lawrence County, Indiana",,,
Madison,"131,636","131,637",129569,,,".Madison County, Indiana",,,
Marion,"903,393","903,375",964582,,,".Marion County, Indiana",,,
Marshall,"47,051","47,050",46258,,,".Marshall County, Indiana",,,
Martin,"10,334","10,380",10255,,,".Martin County, Indiana",,,
Miami,"36,903","36,905",35516,,,".Miami County, Indiana",,,
Monroe,"137,974","137,962",148431,,,".Monroe County, Indiana",,,
Montgomery,"38,124","38,121",38338,,,".Montgomery County, Indiana",,,
Morgan,"68,894","68,926",70489,,,".Morgan County, Indiana",,,
Newton,"14,244","14,239",13984,,,".Newton County, Indiana",,,
Noble,"47,536","47,538",47744,,,".Noble County, Indiana",,,
Ohio,"6,128","6,098",5875,,,".Ohio County, Indiana",,,
Orange,"19,840","19,846",19646,,,".Orange County, Indiana",,,
Owen,"21,575","21,573",20799,,,".Owen County, Indiana",,,
Parke,"17,339","17,349",16937,,,".Parke County, Indiana",,,
Perry,"19,338","19,338",19169,,,".Perry County, Indiana",,,
Pike,"12,845","12,700",12389,,,".Pike County, Indiana",,,
Porter,"164,343","164,289",170389,,,".Porter County, Indiana",,,
Posey,"25,910","25,912",25427,,,".Posey County, Indiana",,,
Pulaski,"13,402","13,382",12353,,,".Pulaski County, Indiana",,,
Putnam,"37,963","37,945",37576,,,".Putnam County, Indiana",,,
Randolph,"26,171","26,176",24665,,,".Randolph County, Indiana",,,
Ripley,"28,818","28,812",28324,,,".Ripley County, Indiana",,,
Rush,"17,392","17,392",16581,,,".Rush County, Indiana",,,
St. Joseph,"266,931","266,914",271826,,,".St. Joseph County, Indiana",,,
Scott,"24,181","24,195",23873,,,".Scott County, Indiana",,,
Shelby,"44,436","44,379",44729,,,".Shelby County, Indiana",,,
Spencer,"20,952","20,955",20277,,,".Spencer County, Indiana",,,
Starke,"23,363","23,362",22995,,,".Starke County, Indiana",,,
Steuben,"34,185","34,147",34594,,,".Steuben County, Indiana",,,
Sullivan,"21,475","21,475",20669,,,".Sullivan County, Indiana",,,
Switzerland,"10,613","10,687",10751,,,".Switzerland County, Indiana",,,
Tippecanoe,"172,780","172,803",195732,,,".Tippecanoe County, Indiana",,,
Tipton,"15,936","15,936",15148,,,".Tipton County, Indiana",,,
Union,"7,516","7,516",7054,,,".Union County, Indiana",,,
Vanderburgh,"179,703","179,701",181451,,,".Vanderburgh County, Indiana",,,
Vermillion,"16,212","16,210",15498,,,".Vermillion County, Indiana",,,
Vigo,"107,848","107,852",107038,,,".Vigo County, Indiana",,,
Wabash,"32,888","32,888",30996,,,".Wabash County, Indiana",,,
Warren,"8,508","8,511",8265,,,".Warren County, Indiana",,,
Warrick,"59,689","59,689",62998,,,".Warrick County, Indiana",,,
Washington,"28,262","28,254",28036,,,".Washington County, Indiana",,,
Wayne,"68,917","68,996",65884,,,".Wayne County, Indiana",,,
Wells,"27,636","27,637",28296,,,".Wells County, Indiana",,,
White,"24,643","24,638",24102,,,".White County, Indiana",,,
Whitley,"33,292","33,287",33964,,,".Whitley County, Indiana",,,
Adair,"7,682","7,682",7152,,,".Adair County, Iowa",,,
Adams,"4,029","4,029",3602,,,".Adams County, Iowa",,,
Allamakee,"14,330","14,328",13687,,,".Allamakee County, Iowa",,,
Appanoose,"12,887","12,887",12426,,,".Appanoose County, Iowa",,,
Audubon,"6,119","6,119",5496,,,".Audubon County, Iowa",,,
Benton,"26,076","26,069",25645,,,".Benton County, Iowa",,,
Black Hawk,"131,090","131,086",131228,,,".Black Hawk County, Iowa",,,
Boone,"26,306","26,308",26234,,,".Boone County, Iowa",,,
Bremer,"24,276","24,280",25062,,,".Bremer County, Iowa",,,
Buchanan,"20,958","20,953",21175,,,".Buchanan County, Iowa",,,
Buena Vista,"20,260","20,265",19620,,,".Buena Vista County, Iowa",,,
Butler,"14,867","14,869",14439,,,".Butler County, Iowa",,,
Calhoun,"9,670","10,177",9668,,,".Calhoun County, Iowa",,,
Carroll,"20,816","20,816",20165,,,".Carroll County, Iowa",,,
Cass,"13,956","13,952",12836,,,".Cass County, Iowa",,,
Cedar,"18,499","18,441",18627,,,".Cedar County, Iowa",,,
Cerro Gordo,"44,151","44,153",42450,,,".Cerro Gordo County, Iowa",,,
Cherokee,"12,072","12,067",11235,,,".Cherokee County, Iowa",,,
Chickasaw,"12,439","12,442",11933,,,".Chickasaw County, Iowa",,,
Clarke,"9,286","9,286",9395,,,".Clarke County, Iowa",,,
Clay,"16,667","16,667",16016,,,".Clay County, Iowa",,,
Clayton,"18,129","18,128",17549,,,".Clayton County, Iowa",,,
Clinton,"49,116","49,117",46429,,,".Clinton County, Iowa",,,
Crawford,"17,096","17,096",16820,,,".Crawford County, Iowa",,,
Dallas,"66,135","66,139",93453,,,".Dallas County, Iowa",,,
Davis,"8,753","8,753",9000,,,".Davis County, Iowa",,,
Decatur,"8,457","8,456",7870,,,".Decatur County, Iowa",,,
Delaware,"17,764","17,770",17011,,,".Delaware County, Iowa",,,
Des Moines,"40,325","40,325",38967,,,".Des Moines County, Iowa",,,
Dickinson,"16,667","16,667",17258,,,".Dickinson County, Iowa",,,
Dubuque,"93,653","93,643",97311,,,".Dubuque County, Iowa",,,
Emmet,"10,302","10,302",9208,,,".Emmet County, Iowa",,,
Fayette,"20,880","20,882",19650,,,".Fayette County, Iowa",,,
Floyd,"16,303","16,293",15642,,,".Floyd County, Iowa",,,
Franklin,"10,680","10,680",10070,,,".Franklin County, Iowa",,,
Fremont,"7,441","7,438",6960,,,".Fremont County, Iowa",,,
Greene,"9,336","9,337",8888,,,".Greene County, Iowa",,,
Grundy,"12,453","12,453",12232,,,".Grundy County, Iowa",,,
Guthrie,"10,954","10,955",10689,,,".Guthrie County, Iowa",,,
Hamilton,"15,673","15,675",14773,,,".Hamilton County, Iowa",,,
Hancock,"11,341","11,338",10630,,,".Hancock County, Iowa",,,
Hardin,"17,534","17,534",16846,,,".Hardin County, Iowa",,,
Harrison,"14,928","14,937",14049,,,".Harrison County, Iowa",,,
Henry,"20,145","20,145",19954,,,".Henry County, Iowa",,,
Howard,"9,566","9,564",9158,,,".Howard County, Iowa",,,
Humboldt,"9,815","9,814",9558,,,".Humboldt County, Iowa",,,
Ida,"7,089","7,089",6860,,,".Ida County, Iowa",,,
Iowa,"16,355","16,356",16184,,,".Iowa County, Iowa",,,
Jackson,"19,848","19,853",19439,,,".Jackson County, Iowa",,,
Jasper,"36,842","36,842",37185,,,".Jasper County, Iowa",,,
Jefferson,"16,843","16,840",18295,,,".Jefferson County, Iowa",,,
Johnson,"130,882","130,882",151140,,,".Johnson County, Iowa",,,
Jones,"20,638","20,636",20681,,,".Jones County, Iowa",,,
Keokuk,"10,511","10,510",10246,,,".Keokuk County, Iowa",,,
Kossuth,"15,543","15,545",14813,,,".Kossuth County, Iowa",,,
Lee,"35,862","35,862",33657,,,".Lee County, Iowa",,,
Linn,"211,226","211,243",226706,,,".Linn County, Iowa",,,
Louisa,"11,387","11,387",11035,,,".Louisa County, Iowa",,,
Lucas,"8,898","8,900",8600,,,".Lucas County, Iowa",,,
Lyon,"11,581","11,581",11755,,,".Lyon County, Iowa",,,
Madison,"15,679","15,681",16338,,,".Madison County, Iowa",,,
Mahaska,"22,381","22,382",22095,,,".Mahaska County, Iowa",,,
Marion,"33,309","33,307",33253,,,".Marion County, Iowa",,,
Marshall,"40,648","40,648",39369,,,".Marshall County, Iowa",,,
Mills,"15,059","15,059",15109,,,".Mills County, Iowa",,,
Mitchell,"10,776","10,776",10586,,,".Mitchell County, Iowa",,,
Monona,"9,243","9,242",8615,,,".Monona County, Iowa",,,
Monroe,"7,970","7,972",7707,,,".Monroe County, Iowa",,,
Montgomery,"10,740","10,740",9917,,,".Montgomery County, Iowa",,,
Muscatine,"42,745","42,803",42664,,,".Muscatine County, Iowa",,,
O'Brien,"14,398","14,398",13753,,,".O'Brien County, Iowa",,,
Osceola,"6,462","6,462",5958,,,".Osceola County, Iowa",,,
Page,"15,932","15,946",15107,,,".Page County, Iowa",,,
Palo Alto,"9,421","9,421",8886,,,".Palo Alto County, Iowa",,,
Plymouth,"24,986","24,984",25177,,,".Plymouth County, Iowa",,,
Pocahontas,"7,310","7,310",6619,,,".Pocahontas County, Iowa",,,
Polk,"430,640","430,631",490161,,,".Polk County, Iowa",,,
Pottawattamie,"93,158","93,149",93206,,,".Pottawattamie County, Iowa",,,
Poweshiek,"18,914","18,915",18504,,,".Poweshiek County, Iowa",,,
Ringgold,"5,131","5,130",4894,,,".Ringgold County, Iowa",,,
Sac,"10,350","10,350",9721,,,".Sac County, Iowa",,,
Scott,"165,224","165,223",172943,,,".Scott County, Iowa",,,
Shelby,"12,167","12,169",11454,,,".Shelby County, Iowa",,,
Sioux,"33,704","33,704",34855,,,".Sioux County, Iowa",,,
Story,"89,542","89,542",97117,,,".Story County, Iowa",,,
Tama,"17,767","17,767",16854,,,".Tama County, Iowa",,,
Taylor,"6,317","6,317",6121,,,".Taylor County, Iowa",,,
Union,"12,534","12,534",12241,,,".Union County, Iowa",,,
Van Buren,"7,570","7,571",7044,,,".Van Buren County, Iowa",,,
Wapello,"35,625","35,624",34969,,,".Wapello County, Iowa",,,
Warren,"46,225","46,226",51466,,,".Warren County, Iowa",,,
Washington,"21,704","21,704",21965,,,".Washington County, Iowa",,,
Wayne,"6,403","6,403",6441,,,".Wayne County, Iowa",,,
Webster,"38,013","38,011",35904,,,".Webster County, Iowa",,,
Winnebago,"10,866","10,874",10354,,,".Winnebago County, Iowa",,,
Winneshiek,"21,056","21,058",19991,,,".Winneshiek County, Iowa",,,
Woodbury,"102,172","102,175",103107,,,".Woodbury County, Iowa",,,
Worth,"7,598","7,591",7381,,,".Worth County, Iowa",,,
Wright,"13,229","13,229",12562,,,".Wright County, Iowa",,,
Allen,"13,371","13,372",12369,,,".Allen County, Kansas",,,
Anderson,"8,102","8,102",7858,,,".Anderson County, Kansas",,,
Atchison,"16,924","16,921",16073,,,".Atchison County, Kansas",,,
Barber,"4,861","4,864",4427,,,".Barber County, Kansas",,,
Barton,"27,674","27,672",25779,,,".Barton County, Kansas",,,
Bourbon,"15,173","15,172",14534,,,".Bourbon County, Kansas",,,
Brown,"9,984","9,984",9564,,,".Brown County, Kansas",,,
Butler,"65,880","65,884",66911,,,".Butler County, Kansas",,,
Chase,"2,790","2,790",2648,,,".Chase County, Kansas",,,
Chautauqua,"3,669","3,669",3250,,,".Chautauqua County, Kansas",,,
Cherokee,"21,603","21,607",19939,,,".Cherokee County, Kansas",,,
Cheyenne,"2,726","2,726",2657,,,".Cheyenne County, Kansas",,,
Clark,"2,215","2,215",1994,,,".Clark County, Kansas",,,
Clay,"8,535","8,545",8002,,,".Clay County, Kansas",,,
Cloud,"9,533","9,533",8786,,,".Cloud County, Kansas",,,
Coffey,"8,601","8,598",8179,,,".Coffey County, Kansas",,,
Comanche,"1,891","1,891",1700,,,".Comanche County, Kansas",,,
Cowley,"36,311","36,309",34908,,,".Cowley County, Kansas",,,
Crawford,"39,134","39,135",38818,,,".Crawford County, Kansas",,,
Decatur,"2,961","2,965",2827,,,".Decatur County, Kansas",,,
Dickinson,"19,754","19,749",18466,,,".Dickinson County, Kansas",,,
Doniphan,"7,945","7,948",7600,,,".Doniphan County, Kansas",,,
Douglas,"110,826","110,826",122259,,,".Douglas County, Kansas",,,
Edwards,"3,037","3,037",2798,,,".Edwards County, Kansas",,,
Elk,"2,882","2,882",2530,,,".Elk County, Kansas",,,
Ellis,"28,452","28,452",28553,,,".Ellis County, Kansas",,,
Ellsworth,"6,497","6,497",6102,,,".Ellsworth County, Kansas",,,
Finney,"36,776","36,785",36467,,,".Finney County, Kansas",,,
Ford,"33,848","33,844",33619,,,".Ford County, Kansas",,,
Franklin,"25,992","25,996",25544,,,".Franklin County, Kansas",,,
Geary,"34,362","34,356",31670,,,".Geary County, Kansas",,,
Gove,"2,695","2,701",2636,,,".Gove County, Kansas",,,
Graham,"2,597","2,588",2482,,,".Graham County, Kansas",,,
Grant,"7,829","7,824",7150,,,".Grant County, Kansas",,,
Gray,"6,006","6,001",5988,,,".Gray County, Kansas",,,
Greeley,"1,247","1,248",1232,,,".Greeley County, Kansas",,,
Greenwood,"6,689","6,689",5982,,,".Greenwood County, Kansas",,,
Hamilton,"2,690","2,687",2539,,,".Hamilton County, Kansas",,,
Harper,"6,034","6,034",5436,,,".Harper County, Kansas",,,
Harvey,"34,684","34,684",34429,,,".Harvey County, Kansas",,,
Haskell,"4,256","4,256",3968,,,".Haskell County, Kansas",,,
Hodgeman,"1,916","1,918",1794,,,".Hodgeman County, Kansas",,,
Jackson,"13,462","13,460",13171,,,".Jackson County, Kansas",,,
Jefferson,"19,126","19,108",19043,,,".Jefferson County, Kansas",,,
Jewell,"3,077","3,073",2879,,,".Jewell County, Kansas",,,
Johnson,"544,179","544,181",602401,,,".Johnson County, Kansas",,,
Kearny,"3,977","3,982",3838,,,".Kearny County, Kansas",,,
Kingman,"7,858","7,860",7152,,,".Kingman County, Kansas",,,
Kiowa,"2,553","2,553",2475,,,".Kiowa County, Kansas",,,
Labette,"21,607","21,609",19618,,,".Labette County, Kansas",,,
Lane,"1,750","1,749",1535,,,".Lane County, Kansas",,,
Leavenworth,"76,227","76,220",81758,,,".Leavenworth County, Kansas",,,
Lincoln,"3,241","3,241",2962,,,".Lincoln County, Kansas",,,
Linn,"9,656","9,656",9703,,,".Linn County, Kansas",,,
Logan,"2,756","2,759",2794,,,".Logan County, Kansas",,,
Lyon,"33,690","33,692",33195,,,".Lyon County, Kansas",,,
McPherson,"29,180","29,186",28542,,,".McPherson County, Kansas",,,
Marion,"12,660","12,660",11884,,,".Marion County, Kansas",,,
Marshall,"10,117","10,117",9707,,,".Marshall County, Kansas",,,
Meade,"4,575","4,575",4033,,,".Meade County, Kansas",,,
Miami,"32,787","32,781",34237,,,".Miami County, Kansas",,,
Mitchell,"6,373","6,373",5979,,,".Mitchell County, Kansas",,,
Montgomery,"35,471","35,468",31829,,,".Montgomery County, Kansas",,,
Morris,"5,923","5,923",5620,,,".Morris County, Kansas",,,
Morton,"3,233","3,233",2587,,,".Morton County, Kansas",,,
Nemaha,"10,178","10,178",10231,,,".Nemaha County, Kansas",,,
Neosho,"16,512","16,511",16007,,,".Neosho County, Kansas",,,
Ness,"3,107","3,107",2750,,,".Ness County, Kansas",,,
Norton,"5,671","5,669",5361,,,".Norton County, Kansas",,,
Osage,"16,295","16,294",15949,,,".Osage County, Kansas",,,
Osborne,"3,858","3,861",3421,,,".Osborne County, Kansas",,,
Ottawa,"6,091","6,091",5704,,,".Ottawa County, Kansas",,,
Pawnee,"6,973","6,971",6414,,,".Pawnee County, Kansas",,,
Phillips,"5,642","5,640",5234,,,".Phillips County, Kansas",,,
Pottawatomie,"21,604","21,608",24383,,,".Pottawatomie County, Kansas",,,
Pratt,"9,656","9,653",9164,,,".Pratt County, Kansas",,,
Rawlins,"2,519","2,519",2530,,,".Rawlins County, Kansas",,,
Reno,"64,511","64,511",61998,,,".Reno County, Kansas",,,
Republic,"4,980","4,980",4636,,,".Republic County, Kansas",,,
Rice,"10,083","10,082",9537,,,".Rice County, Kansas",,,
Riley,"71,115","71,130",74232,,,".Riley County, Kansas",,,
Rooks,"5,181","5,181",4920,,,".Rooks County, Kansas",,,
Rush,"3,307","3,307",3036,,,".Rush County, Kansas",,,
Russell,"6,970","6,967",6856,,,".Russell County, Kansas",,,
Saline,"55,606","55,604",54224,,,".Saline County, Kansas",,,
Scott,"4,936","4,936",4823,,,".Scott County, Kansas",,,
Sedgwick,"498,365","498,356",516042,,,".Sedgwick County, Kansas",,,
Seward,"22,952","22,950",21428,,,".Seward County, Kansas",,,
Shawnee,"177,934","177,943",176875,,,".Shawnee County, Kansas",,,
Sheridan,"2,556","2,544",2521,,,".Sheridan County, Kansas",,,
Sherman,"6,010","6,010",5917,,,".Sherman County, Kansas",,,
Smith,"3,853","3,853",3583,,,".Smith County, Kansas",,,
Stafford,"4,437","4,439",4156,,,".Stafford County, Kansas",,,
Stanton,"2,235","2,236",2006,,,".Stanton County, Kansas",,,
Stevens,"5,724","5,726",5485,,,".Stevens County, Kansas",,,
Sumner,"24,132","24,137",22836,,,".Sumner County, Kansas",,,
Thomas,"7,900","7,902",7777,,,".Thomas County, Kansas",,,
Trego,"3,001","3,006",2803,,,".Trego County, Kansas",,,
Wabaunsee,"7,053","7,055",6931,,,".Wabaunsee County, Kansas",,,
Wallace,"1,485","1,485",1518,,,".Wallace County, Kansas",,,
Washington,"5,799","5,794",5406,,,".Washington County, Kansas",,,
Wichita,"2,234","2,234",2119,,,".Wichita County, Kansas",,,
Wilson,"9,409","9,406",8525,,,".Wilson County, Kansas",,,
Woodson,"3,309","3,309",3138,,,".Woodson County, Kansas",,,
Wyandotte,"157,505","157,523",165429,,,".Wyandotte County, Kansas",,,
Adair,"18,656","18,659",19202,,,".Adair County, Kentucky",,,
Allen,"19,956","19,958",21315,,,".Allen County, Kentucky",,,
Anderson,"21,421","21,462",22747,,,".Anderson County, Kentucky",,,
Ballard,"8,249","8,246",7888,,,".Ballard County, Kentucky",,,
Barren,"42,173","42,161",44249,,,".Barren County, Kentucky",,,
Bath,"11,591","11,587",12500,,,".Bath County, Kentucky",,,
Bell,"28,691","28,691",26032,,,".Bell County, Kentucky",,,
Boone,"118,811","118,810",133581,,,".Boone County, Kentucky",,,
Bourbon,"19,985","20,008",19788,,,".Bourbon County, Kentucky",,,
Boyd,"49,542","49,534",46718,,,".Boyd County, Kentucky",,,
Boyle,"28,432","28,443",30060,,,".Boyle County, Kentucky",,,
Bracken,"8,488","8,486",8303,,,".Bracken County, Kentucky",,,
Breathitt,"13,878","13,876",12630,,,".Breathitt County, Kentucky",,,
Breckinridge,"20,059","20,053",20477,,,".Breckinridge County, Kentucky",,,
Bullitt,"74,319","74,308",81676,,,".Bullitt County, Kentucky",,,
Butler,"12,690","12,697",12879,,,".Butler County, Kentucky",,,
Caldwell,"12,984","12,989",12747,,,".Caldwell County, Kentucky",,,
Calloway,"37,191","37,190",39001,,,".Calloway County, Kentucky",,,
Campbell,"90,336","90,338",93584,,,".Campbell County, Kentucky",,,
Carlisle,"5,104","5,097",4760,,,".Carlisle County, Kentucky",,,
Carroll,"10,811","10,807",10631,,,".Carroll County, Kentucky",,,
Carter,"27,720","27,721",26797,,,".Carter County, Kentucky",,,
Casey,"15,955","15,960",16159,,,".Casey County, Kentucky",,,
Christian,"73,955","73,940",70461,,,".Christian County, Kentucky",,,
Clark,"35,613","35,603",36263,,,".Clark County, Kentucky",,,
Clay,"21,730","21,729",19901,,,".Clay County, Kentucky",,,
Clinton,"10,272","10,267",10218,,,".Clinton County, Kentucky",,,
Crittenden,"9,315","9,315",8806,,,".Crittenden County, Kentucky",,,
Cumberland,"6,856","6,849",6614,,,".Cumberland County, Kentucky",,,
Daviess,"96,656","96,641",101511,,,".Daviess County, Kentucky",,,
Edmonson,"12,161","12,177",12150,,,".Edmonson County, Kentucky",,,
Elliott,"7,852","7,850",7517,,,".Elliott County, Kentucky",,,
Estill,"14,672","14,679",14106,,,".Estill County, Kentucky",,,
Fayette,"295,803","295,870",323152,,,".Fayette County, Kentucky",,,
Fleming,"14,348","14,346",14581,,,".Fleming County, Kentucky",,,
Floyd,"39,451","39,450",35589,,,".Floyd County, Kentucky",,,
Franklin,"49,285","49,268",50991,,,".Franklin County, Kentucky",,,
Fulton,"6,813","6,813",5969,,,".Fulton County, Kentucky",,,
Gallatin,"8,589","8,586",8869,,,".Gallatin County, Kentucky",,,
Garrard,"16,912","16,905",17666,,,".Garrard County, Kentucky",,,
Grant,"24,662","24,655",25069,,,".Grant County, Kentucky",,,
Graves,"37,121","37,151",37266,,,".Graves County, Kentucky",,,
Grayson,"25,746","25,749",26427,,,".Grayson County, Kentucky",,,
Green,"11,258","11,255",10941,,,".Green County, Kentucky",,,
Greenup,"36,910","36,906",35098,,,".Greenup County, Kentucky",,,
Hancock,"8,565","8,565",8722,,,".Hancock County, Kentucky",,,
Hardin,"105,543","105,537",110958,,,".Hardin County, Kentucky",,,
Harlan,"29,278","29,278",26010,,,".Harlan County, Kentucky",,,
Harrison,"18,846","18,850",18886,,,".Harrison County, Kentucky",,,
Hart,"18,199","18,194",19035,,,".Hart County, Kentucky",,,
Henderson,"46,250","46,246",45210,,,".Henderson County, Kentucky",,,
Henry,"15,416","15,413",16126,,,".Henry County, Kentucky",,,
Hickman,"4,902","4,903",4380,,,".Hickman County, Kentucky",,,
Hopkins,"46,920","46,918",44686,,,".Hopkins County, Kentucky",,,
Jackson,"13,494","13,490",13329,,,".Jackson County, Kentucky",,,
Jefferson,"741,096","741,075",766757,,,".Jefferson County, Kentucky",,,
Jessamine,"48,586","48,580",54115,,,".Jessamine County, Kentucky",,,
Johnson,"23,356","23,359",22188,,,".Johnson County, Kentucky",,,
Kenton,"159,720","159,728",166998,,,".Kenton County, Kentucky",,,
Knott,"16,346","16,364",14806,,,".Knott County, Kentucky",,,
Knox,"31,883","31,888",31145,,,".Knox County, Kentucky",,,
Larue,"14,193","14,181",14398,,,".Larue County, Kentucky",,,
Laurel,"58,849","58,849",60813,,,".Laurel County, Kentucky",,,
Lawrence,"15,860","15,859",15317,,,".Lawrence County, Kentucky",,,
Lee,"7,887","7,887",7403,,,".Lee County, Kentucky",,,
Leslie,"11,310","11,310",9877,,,".Leslie County, Kentucky",,,
Letcher,"24,519","24,511",21553,,,".Letcher County, Kentucky",,,
Lewis,"13,870","13,883",13275,,,".Lewis County, Kentucky",,,
Lincoln,"24,742","24,736",24549,,,".Lincoln County, Kentucky",,,
Livingston,"9,519","9,519",9194,,,".Livingston County, Kentucky",,,
Logan,"26,835","26,832",27102,,,".Logan County, Kentucky",,,
Lyon,"8,314","8,319",8210,,,".Lyon County, Kentucky",,,
McCracken,"65,565","65,539",65418,,,".McCracken County, Kentucky",,,
McCreary,"18,306","18,306",17231,,,".McCreary County, Kentucky",,,
McLean,"9,531","9,540",9207,,,".McLean County, Kentucky",,,
Madison,"82,916","82,913",92987,,,".Madison County, Kentucky",,,
Magoffin,"13,333","13,333",12161,,,".Magoffin County, Kentucky",,,
Marion,"19,820","19,835",19273,,,".Marion County, Kentucky",,,
Marshall,"31,448","31,448",31100,,,".Marshall County, Kentucky",,,
Martin,"12,929","12,929",11195,,,".Martin County, Kentucky",,,
Mason,"17,490","17,490",17070,,,".Mason County, Kentucky",,,
Meade,"28,602","28,613",28572,,,".Meade County, Kentucky",,,
Menifee,"6,306","6,309",6489,,,".Menifee County, Kentucky",,,
Mercer,"21,331","21,311",21933,,,".Mercer County, Kentucky",,,
Metcalfe,"10,099","10,116",10071,,,".Metcalfe County, Kentucky",,,
Monroe,"10,963","10,963",10650,,,".Monroe County, Kentucky",,,
Montgomery,"26,499","26,507",28157,,,".Montgomery County, Kentucky",,,
Morgan,"13,923","13,921",13309,,,".Morgan County, Kentucky",,,
Muhlenberg,"31,499","31,499",30622,,,".Muhlenberg County, Kentucky",,,
Nelson,"43,437","43,441",46233,,,".Nelson County, Kentucky",,,
Nicholas,"7,135","7,129",7269,,,".Nicholas County, Kentucky",,,
Ohio,"23,842","23,854",23994,,,".Ohio County, Kentucky",,,
Oldham,"60,316","60,356",66799,,,".Oldham County, Kentucky",,,
Owen,"10,841","10,837",10901,,,".Owen County, Kentucky",,,
Owsley,"4,755","4,755",4415,,,".Owsley County, Kentucky",,,
Pendleton,"14,877","14,874",14590,,,".Pendleton County, Kentucky",,,
Perry,"28,712","28,697",25758,,,".Perry County, Kentucky",,,
Pike,"65,024","65,029",57876,,,".Pike County, Kentucky",,,
Powell,"12,613","12,613",12359,,,".Powell County, Kentucky",,,
Pulaski,"63,063","63,061",64979,,,".Pulaski County, Kentucky",,,
Robertson,"2,282","2,282",2108,,,".Robertson County, Kentucky",,,
Rockcastle,"17,056","17,056",16695,,,".Rockcastle County, Kentucky",,,
Rowan,"23,333","23,336",24460,,,".Rowan County, Kentucky",,,
Russell,"17,565","17,565",17923,,,".Russell County, Kentucky",,,
Scott,"47,173","47,096",57004,,,".Scott County, Kentucky",,,
Shelby,"42,074","41,971",49024,,,".Shelby County, Kentucky",,,
Simpson,"17,327","17,329",18572,,,".Simpson County, Kentucky",,,
Spencer,"17,061","17,142",19351,,,".Spencer County, Kentucky",,,
Taylor,"24,512","24,511",25769,,,".Taylor County, Kentucky",,,
Todd,"12,460","12,463",12294,,,".Todd County, Kentucky",,,
Trigg,"14,339","14,327",14651,,,".Trigg County, Kentucky",,,
Trimble,"8,809","8,809",8471,,,".Trimble County, Kentucky",,,
Union,"15,007","15,007",14381,,,".Union County, Kentucky",,,
Warren,"113,792","113,781",132896,,,".Warren County, Kentucky",,,
Washington,"11,717","11,713",12095,,,".Washington County, Kentucky",,,
Wayne,"20,813","20,813",20333,,,".Wayne County, Kentucky",,,
Webster,"13,621","13,621",12942,,,".Webster County, Kentucky",,,
Whitley,"35,637","35,633",36264,,,".Whitley County, Kentucky",,,
Wolfe,"7,355","7,355",7157,,,".Wolfe County, Kentucky",,,
Woodford,"24,939","24,946",26734,,,".Woodford County, Kentucky",,,
Acadia Parish,"61,773","61,787",62045,,,".Acadia Parish, Louisiana",,,
Allen Parish,"25,764","25,747",25627,,,".Allen Parish, Louisiana",,,
Ascension Parish,"107,215","107,215",126604,,,".Ascension Parish, Louisiana",,,
Assumption Parish,"23,421","23,416",21891,,,".Assumption Parish, Louisiana",,,
Avoyelles Parish,"42,073","42,071",40144,,,".Avoyelles Parish, Louisiana",,,
Beauregard Parish,"35,654","35,651",37497,,,".Beauregard Parish, Louisiana",,,
Bienville Parish,"14,353","14,353",13241,,,".Bienville Parish, Louisiana",,,
Bossier Parish,"116,979","117,036",127039,,,".Bossier Parish, Louisiana",,,
Caddo Parish,"254,969","254,914",240204,,,".Caddo Parish, Louisiana",,,
Calcasieu Parish,"192,768","192,772",203436,,,".Calcasieu Parish, Louisiana",,,
Caldwell Parish,"10,132","10,126",9918,,,".Caldwell Parish, Louisiana",,,
Cameron Parish,"6,839","6,868",6973,,,".Cameron Parish, Louisiana",,,
Catahoula Parish,"10,407","10,407",9494,,,".Catahoula Parish, Louisiana",,,
Claiborne Parish,"17,195","17,195",15670,,,".Claiborne Parish, Louisiana",,,
Concordia Parish,"20,822","20,822",19259,,,".Concordia Parish, Louisiana",,,
De Soto Parish,"26,656","26,656",27463,,,".De Soto Parish, Louisiana",,,
East Baton Rouge Parish,"440,171","440,525",440059,,,".East Baton Rouge Parish, Louisiana",,,
East Carroll Parish,"7,759","7,759",6861,,,".East Carroll Parish, Louisiana",,,
East Feliciana Parish,"20,267","20,260",19135,,,".East Feliciana Parish, Louisiana",,,
Evangeline Parish,"33,984","33,988",33395,,,".Evangeline Parish, Louisiana",,,
Franklin Parish,"20,767","20,767",20015,,,".Franklin Parish, Louisiana",,,
Grant Parish,"22,309","22,309",22389,,,".Grant Parish, Louisiana",,,
Iberia Parish,"73,240","73,087",69830,,,".Iberia Parish, Louisiana",,,
Iberville Parish,"33,387","33,404",32511,,,".Iberville Parish, Louisiana",,,
Jackson Parish,"16,274","16,272",15744,,,".Jackson Parish, Louisiana",,,
Jefferson Parish,"432,552","432,576",432493,,,".Jefferson Parish, Louisiana",,,
