County,Census,Estimates Base,Today,,,,,
North Slope Borough,"9,430","9,430",9832,,,".North Slope Borough, Alaska",,,
Northwest Arctic Borough,"7,523","7,523",7621,,,".Northwest Arctic Borough, Alaska",,,
Petersburg Borough,"3,815","3,207",3266,,,".Petersburg Borough, Alaska",,,
Prince of Wales-Hyder Census Area,"5,559","6,168",6203,,,".Prince of Wales-Hyder Census Area, Alaska",,,
Sitka City and Borough,"8,881","8,881",8493,,,".Sitka City and Borough, Alaska",,,
Skagway Municipality,968,968,1183,,,".Skagway Municipality, Alaska",,,
Southeast Fairbanks Census Area,"7,029","7,029",6893,,,".Southeast Fairbanks Census Area, Alaska",,,
Valdez-Cordova Census Area,"9,636","9,636",9202,,,".Valdez-Cordova Census Area, Alaska",,,
Wrangell City and Borough,"2,369","2,365",2502,,,".Wrangell City and Borough, Alaska",,,
Yakutat City and Borough,662,662,579,,,".Yakutat City and Borough, Alaska",,,
Yukon-Koyukuk Census Area,"5,588","5,588",5230,,,".Yukon-Koyukuk Census Area, Alaska",,,
Apache,"71,518","71,517",71887,,,".Apache County, Arizona",,,
Cochise,"131,346","131,359",125922,,,".Cochise County, Arizona",,,
Coconino,"134,421","134,426",143476,,,".Coconino County, Arizona",,,
Gila,"53,597","53,592",54018,,,".Gila County, Arizona",,,
Graham,"37,220","37,212",38837,,,".Graham County, Arizona",,,
Greenlee,"8,437","8,444",9498,,,".Greenlee County, Arizona",,,
La Paz,"20,489","20,489",21108,,,".La Paz County, Arizona",,,
Maricopa,"3,817,117","3,817,365",4485414,,,".Maricopa County, Arizona",,,
Mohave,"200,186","200,182",212181,,,".Mohave County, Arizona",,,
Navajo,"107,449","107,488",110924,,,".Navajo County, Arizona",,,
Pima,"980,263","980,263",1047279,,,".Pima County, Arizona",,,
Pinal,"375,770","375,764",462789,,,".Pinal County, Arizona",,,
Santa Cruz,"47,420","47,420",46498,,,".Santa Cruz County, Arizona",,,
Yavapai,"211,033","211,017",235099,,,".Yavapai County, Arizona",,,
Yuma,"195,751","195,750",213787,,,".Yuma County, Arizona",,,
Arkansas,"19,019","19,007",17486,,,".Arkansas County, Arkansas",,,
Ashley,"21,853","21,845",19657,,,".Ashley County, Arkansas",,,
Baxter,"41,513","41,511",41932,,,".Baxter County, Arkansas",,,
Benton,"221,339","221,348",279141,,,".Benton County, Arkansas",,,
Boone,"36,903","36,920",37432,,,".Boone County, Arkansas",,,
Bradley,"11,508","11,505",10763,,,".Bradley County, Arkansas",,,
Calhoun,"5,368","5,368",5189,,,".Calhoun County, Arkansas",,,
Carroll,"27,446","27,449",28380,,,".Carroll County, Arkansas",,,
Chicot,"11,800","11,800",10118,,,".Chicot County, Arkansas",,,
Clark,"22,995","22,991",22320,,,".Clark County, Arkansas",,,
Clay,"16,083","16,083",14551,,,".Clay County, Arkansas",,,
Cleburne,"25,970","25,964",24919,,,".Cleburne County, Arkansas",,,
Cleveland,"8,689","8,692",7956,,,".Cleveland County, Arkansas",,,
Columbia,"24,552","24,552",23457,,,".Columbia County, Arkansas",,,
